Est(s)     RSS(MB)    PSS(MB)    Ref(MB)
0.018       343.41     340.10       0.47
0.017       367.14     363.83       0.59
0.017       379.57     376.25       6.76
0.017       386.59     383.28       0.55
0.018       413.45     410.12       7.16
0.018       422.26     418.93       1.91
0.018       446.89     443.57       2.38
0.020       456.05     452.73       0.31
0.019       498.10     494.78       0.56
0.019       513.45     510.13       0.57
0.019       532.54     529.23       0.66
0.020       519.64     516.32       4.77
0.019       438.14     434.83       0.00
0.092       271.69     268.06      42.00
0.030       647.74     644.11      21.07
0.035      1153.66    1150.03      63.18
0.141       466.25     462.62      46.09
0.105       436.77     433.13      31.96
0.020       441.44     437.81       0.06
0.030       604.28     600.65     114.65
0.034       908.49     904.86      62.23
0.032       506.13     502.44      76.05
0.039       938.63     934.94     163.07
0.264       552.86     549.17      64.76
0.028       590.61     586.92      28.57
0.031       804.41     800.72      18.59
0.030       658.37     654.67      44.73
0.031       731.32     727.63      45.29
0.050       610.83     607.14      69.45
0.043      1167.94    1164.25      56.40
0.064       556.71     553.01      25.88
0.049      3100.89    3097.19     390.92
0.033       681.73     678.04      40.35
0.033       683.46     679.77      28.13
0.038       995.44     991.75     116.24
0.058       796.37     792.68      35.42
0.033       685.68     681.98      28.20
0.041       811.72     808.03     146.28
0.028       596.79     593.09       3.88
0.033       705.86     702.16      43.04
0.036       854.45     850.76      96.27
0.045       685.54     681.83      71.79
0.030       659.33     655.63      19.64
0.036       717.44     713.74      24.27
0.040       766.87     763.17      57.84
0.055       675.53     671.84      25.08
0.051       722.57     718.88      47.21
0.066      1192.65    1188.95      12.55
0.241      1584.75    1581.04      63.40
0.241      1682.64    1678.93     136.50
0.448      1862.79    1859.09     230.48
0.363      1949.52    1945.81     235.43
0.406      2058.71    2055.01     152.96
0.144      2066.67    2062.96     158.21
0.273      2146.13    2142.43     326.12
0.200       771.32     767.62      66.11
0.041       884.11     880.41      94.68
0.166       728.66     724.96      35.89
0.052      1293.99    1290.29      19.14
0.058      1736.27    1732.57     131.20
0.079      2062.27    2058.57     120.90
0.097      2101.61    2097.90      69.86
0.160       910.96     907.26      47.01
0.059       876.52     872.82      22.27
0.044       996.25     992.55      77.92
0.110      1089.40    1085.70      45.32
0.158      1299.25    1295.55      49.03
0.277      1307.31    1303.61     175.31
0.309      1418.99    1415.29     160.46
0.384      1546.83    1543.13     180.71
0.360      1629.29    1625.59     279.03
0.404      1647.77    1644.07     218.54
0.202       903.22     899.53      54.53
0.055      1213.52    1209.83      89.79
0.068       928.22     924.53      26.67
0.043       907.63     903.94      46.14
0.053      1274.32    1270.63      55.47
0.063      1607.77    1604.07      36.77
0.042       974.41     970.72      24.77
0.044      1043.61    1039.92      47.96
0.132      1746.84    1743.15     129.43
0.133      2994.26    2990.57     251.25
0.194      4066.48    4062.79      85.68
0.422      4432.04    4428.35     550.57
0.773      1284.39    1280.69      91.98
0.101       973.96     970.27      33.16
0.053      1140.08    1136.39      86.94
0.052      1245.35    1241.66      76.70
0.096       991.01     987.32      37.76
0.053      1362.90    1359.21      73.30
0.205      1040.34    1036.64      59.36
0.063      1047.22    1043.53      24.42
0.267      1048.75    1045.06      52.08
0.051      1446.23    1442.54      39.73
0.047      1147.35    1143.66      30.99
0.047      1029.64    1025.95      39.67
0.043      1037.66    1033.97      28.55
0.100      1002.52     998.82      36.75
0.048      1086.44    1082.75      71.51
0.114      1047.69    1044.00      31.21
0.057      1130.68    1126.98      30.96
0.045      1104.64    1100.94      79.29
0.067      2239.79    2236.09     175.08
0.077      1039.69    1035.98      16.10
0.071      1030.93    1027.22      28.34
0.048      1082.91    1079.21      32.28
